"full_name","origin"
"jacquelynne brenda cervantes torres","Hispanic"
"ruben dario sinisterra","Hispanic"
"joseph dwyer jr","Africa"
"juhani mantere","Scandinavian"
"aldo pregnolato","Italian"
"nicholas patrick wynn","AngloSaxon"
"tomislav matic","Balkans"
"tatyana alexandrovna valueva","Slavic"
"joshua lemaire","French"
"jose antonio chaure larraz","Hispanic"
"manisha agrawal","India"
"oriol puig oliveras","Hispanic"
"venkateswara reddy ","India"
"weiyan wang","China"
"florence letroux","French"
"yoshiharu fanuc utsuki ryo saiki","Japan"
"stephane verdun","French"
"ruben rodriguez torrado","Hispanic"
"alexey tsarenko","Slavic"
"jill klegin","AngloSaxon"
"armando noverola","Hispanic"
"dagfinn andersen","Scandinavian"
"tamas magocsi","AngloSaxon"
"rudolf fiedler","German"
"jinbo qiu","Japan"
"morten kielland brandt","Scandinavian"
"werner riffel","German"
"sang yeop song","Korea"
"kazuko sato","Hispanic"
"laura fumagalli","Italian"
"alfio mazzocchia","Italian"
"gopal chandramowle","India"
"vladimir safonov","Slavic"
"yijin zeng","China"
"takahiko kishi","Japan"
"milind shridhar jalwadi","India"
"mehmet salih atak","Turkey"
"lages miguel","Hispanic"
"inst de tenologia quimica corma canos","Hispanic"
"isabel goncalves","Hispanic"
"robert barber","AngloSaxon"
"danny wernet","German"
"yeon ji oh","Korea"
"signe wremert weich","German"
"kanishk sethi","India"
"piergiorgio  stuttgart techn center sartor","Italian"
"franois eleouet","French"
"pragnesh dalpatram damania","India"
"jieping shi","China"
"andreas litz","German"
"hyunho choi","Korea"
"reza ettehadieh","Persian"
"jean no saas","French"
"david anenson","AngloSaxon"
"tanja stumpf","German"
"robert mcfall","AngloSaxon"
"alla nikolaevna generalova","Slavic"
"emmanuel maudit","French"
"jouko kalevi korpi","Scandinavian"
"markus floruss","German"
"ram aiyar","India"
"lars olov lindskog","Scandinavian"
"fu shan cui","China"
"iyer ajay","India"
"antonio hernndez callejas","Hispanic"
"laurent jean andre molins","French"
"jon claesson","Scandinavian"
"gustav eliasson","Scandinavian"
"ramon novoa","Hispanic"
"miguel muntane condemines","Hispanic"
"jiayu xu","China"
"kathleen miller","AngloSaxon"
"ajay kumar todimala","India"
"robert eugene chalstrom","AngloSaxon"
"gary olive","AngloSaxon"
"jesper sorensen","Scandinavian"
"hee gu   kim","Korea"
"scott david uhlrich","AngloSaxon"
"jose ramon garcia rovira","Hispanic"
"jeffrey velten","Philippines"
"linden mcclure","AngloSaxon"
"dmitriy lvovich zaretskiy","Slavic"
"hyoung min cho","Korea"
"kyung hak min","Korea"
"hans geering","German"
"danylo batura","Hispanic"
"jorge schlegel","Hispanic"
"robert lynn kesecker","AngloSaxon"
"peter shadwell","AngloSaxon"
"melvyn harris","AngloSaxon"
"arthur theodore spencer","AngloSaxon"
"sam west","AngloSaxon"
"neducheralathan shanmugam","India"
"susana boluda casas","Hispanic"
"bernard gambini","French"
"jose luis cantero escola","Hispanic"
"sandor hodossy","EastEurope"
"hiroaki yoshizaki","Japan"
"luis pardo sala","Hispanic"
"herve barancourt","French"
"david warren becker","German"
"mark kosiarek","AngloSaxon"
"andrea hayes","AngloSaxon"
"veeresh kinagi","India"
"jose maria monso capellades","Hispanic"
"foster berry","AngloSaxon"
"jose luis echevarriazarraga amunateguiz","Hispanic"
"stefan jaeverbring","German"
"giampiero morini","Italian"
"erik dessen","Scandinavian"
"kiran kumar venkata kandirelli","India"
"romana francesconi","Italian"
"george hoedeman","AngloSaxon"
"mr nitin chawla","India"
"dilip narayanrao bhedi","India"
"jacques gerber","French"
"gilbert lebec","French"
"paul david stidworthy","AngloSaxon"
"tracy livingston","AngloSaxon"
"liang shun","China"
"wang hu","China"
"agustina errea","Hispanic"
"jong uk ryu","Korea"
"nookaraju venkata","India"
"mark alan klamer","AngloSaxon"
"julio salinas","Hispanic"
"myrna cristina bonaldo","Hispanic"
"goeran rua belgrado palmberg","Scandinavian"
"julio cesar gonzales alvarez","Hispanic"
"lazarus long","AngloSaxon"
"antonio universitat de barcelona facultat de fisica pardo martinez","Hispanic"
"swapnil agarwal","India"
"sung ho jang","Korea"
"john paul hlavachek","AngloSaxon"
"martin mulholland","AngloSaxon"
"kenneth mcconnell","AngloSaxon"
"willi panhausen","German"
"kalidev apura reddy","India"
"ryuzaburo usui","Japan"
"gerard hogan","AngloSaxon"
"brendan scholey","AngloSaxon"
"pier giorgio raponi","Italian"
"jae il nam","Korea"
"alan trieber","AngloSaxon"
"kelly hawkes","AngloSaxon"
"frederic esclapez","French"
"stefan balletshofer","German"
"paul arthur devries","AngloSaxon"
"duane dunnahoe","AngloSaxon"
"anders kaerrberg","Scandinavian"
"juergen jonas","German"
"manuela romano","Italian"
"fabrizio bisio","Italian"
"yang keun yu","China"
"dae seong ls industrial systems co kim","Korea"
"richard john palicka","AngloSaxon"
"subbiah venkatachalam","India"
"shuvan saha","India"
"nathalie lefebvre","French"
"peter danz","German"
"mark clukey","AngloSaxon"
"fenghui wu","China"
"mary dubois","French"
"sang jun bae","Korea"
"chad howard young","AngloSaxon"
"denis voelker","German"
"xiaxia hu","China"
"markus prexl","German"
"klaus guenter kuehn","German"
"raquel bermudo gascon","Hispanic"
"alessandro vergani","Italian"
"jesse dwane jones","AngloSaxon"
"byoung kyun kim","Korea"
"dae cheol kwon","Korea"
"anila ashoka hoskere","India"
"surya chodavarapu","India"
"mikko tuovinen","Scandinavian"
"ted fisher","AngloSaxon"
"junkai sheng","China"
"donald mullins","AngloSaxon"
"kang mo sung","Korea"
"takeshi    honda gijutsu kenkyusho sasaki","Japan"
"yuping wan","China"
"bernard marcq","French"
"ronggao huawei administration building li","China"
"hans peter weber","German"
"alessandro sanasi","Italian"
"sandeep srinivasan","India"
"fabrice allain","French"
"eberhard hanske","German"
"alex rogers","AngloSaxon"
"xianqi lin","China"
"indivar arora","India"
"santiago aranda quiros","Hispanic"
"qi yuan feng","China"
"robert kotwas","AngloSaxon"
"robert carlquist smith","AngloSaxon"
"juan jos vaquero","Hispanic"
"raoul boucher","French"
"igor guerreiro","Hispanic"
"walter perko","German"
"kobad bugwadia","India"
"fabio bellifemine","Italian"
"jean paul pellaux","French"
"johannes fluegel","German"
"franco mostarda","Italian"
"remy barre","French"
"kyoesti ranto","SouthEastAsia"
"patrick bruneau","French"
"seung eop kim","Korea"
"gregory mouchon","French"
"manuel rui","Hispanic"
"sue pandey","AngloSaxon"
"jizong wu","China"
"leon lau","China"
"vladimir nikolaevich samofalov","Hispanic"
"jozef pint","German"
"robert cristian krutsch","German"
"john moxey","AngloSaxon"
"renato procopio","Hispanic"
"pablo escribano andres","Hispanic"
"sylvian blayac","French"
"sivaramakrishnan subramanaiam","India"
"angelo antonioni","Italian"
"haowen chen","China"
"venkateshwar gummadi","India"
"thomas haefeli","German"
"livio lionetti","Italian"
"tetsuro    laboratories nose","Japan"
"sven jechlitschka","German"
"ashish kumar saha","India"
"ramprasad jurupula","India"
"jaroslav koca","German"
"robert everette michel","French"
"prashant pathak","India"
"jingmin zhao","China"
"pernilla tofft","Scandinavian"
"won kak hong","Korea"
"alessandro fenini","Italian"
"soenke carow","German"
"claude alain ninet","French"
"claude joseph","French"
"scott bintrim","AngloSaxon"
"yeon uk   geumhwamaeul daewoo hyundai jeong","Korea"
"tae soo hwang","Korea"
"wensong wang","Korea"
"robert shopland","AngloSaxon"
"michael howey","AngloSaxon"
"james austin walls","AngloSaxon"
"bror eklund","Scandinavian"
"james mawhirt","AngloSaxon"
"markku kyytsnen","Scandinavian"
"preben nigsfeldt","Scandinavian"
"janos szecsi","EastEurope"
"partrick tandy","AngloSaxon"
"chenfei xiong","China"
"micha markiewicz","German"
"huihui fu","China"
"teresa royo bargues","Hispanic"
"geza nagy","EastEurope"
"ricardo navarro sancho","Hispanic"
"sang myeong lee","Korea"
"daniela vallerini","Hispanic"
"sunita bhaskaran","India"
"mario del fabro","Hispanic"
"derek thomas dutilly","AngloSaxon"
"erik skoog","Scandinavian"
"guido pirelli broadband solutions spa oliveti","Italian"
"subrao shrinivas  lab kulkarni","India"
"madan kumar","India"
"shirou uriu","Japan"
"yong ling","China"
"saravanaraj duraisamy","India"
"tila leo flores xavier","Hispanic"
"shizuo kitahara","Japan"
"panu kopsala","Scandinavian"
"xinghua shen","China"
"raj vardhan","India"
"yongqiang shen","China"
"suk hyung cho","Korea"
"arvind soni","India"
"amaia garcia bilbao","Hispanic"
"francois bernard paul","French"
"virginie lechaux tarbouriech","French"
"oliver wunsch","German"
"orlando hernandez","Hispanic"
"francisco payri gonzalez","Hispanic"
"shee yun kim","SouthEastAsia"
"patrick beyne","French"
"ravindra bidnur","India"
"juraj varga","EastEurope"
"jong bok yum","Korea"
"teng hsu sheng","China"
"tommaso fiorelli","Italian"
"claes rudqvist","Scandinavian"
"kunpeng liu","China"
"janaswamy rao","India"
"ashish vyas","India"
"radu coman","Italian"
"vladimir lazovic","Balkans"
"elena sergeevna sedova","Slavic"
"doo sup lee","China"
"akhil sadashiv hingane","India"
"maria laura santarelli","Hispanic"
"makoto  sony electronics nijima","Japan"
"joe schorsch","German"
"jinlin guo","China"
"christophe jean marie yves charlier","French"
"gary martin north","AngloSaxon"
"jose ayub gonzalez garrido","Hispanic"
"nuno alexandre guerin","French"
"jianyong li","China"
"michele autuori","Italian"
"yury lysenko","Slavic"
"fernando antonio cepeda bruto da costa","Hispanic"
"jaromir podzemny","AngloSaxon"
"javier valverde fernandez","Hispanic"
"marco antonio argudo moya","Hispanic"
"lawrence duane goodrich","AngloSaxon"
"juha kuoppala","Scandinavian"
"haksoo kang","Korea"
"tarja korvenoja","Scandinavian"
" mishra","India"
"lorenzo gutierrez tainta","Hispanic"
"jean paul muller","French"
"inbo shim","Korea"
"azra tutuncu","Turkey"
"kamal charan","India"
"asier jauregi benito","Hispanic"
"maria angela montalbano","Italian"
"andre boehm","German"
"margit lenti","Italian"
"gianluigi giovannoni","Italian"
"robert kearns","AngloSaxon"
"valentino toppan","Italian"
"todd thorp","AngloSaxon"
"jose carlos calderon garcia","Hispanic"
"douglas flowers","AngloSaxon"
"giovanna cutrona","Italian"
"paticia da luz moreira","Hispanic"
"gilbert primet","French"
"hae seok yang","Korea"
"rakhi arora","India"
"dante malatto","Hispanic"
"jean hubert bundschuh","German"
"mirjam zeisel","German"
"kazutake gomi","Japan"
"horst scheller","German"
"yanli zhao","China"
"david canard","French"
"jacqueline meador","AngloSaxon"
"vitaly viktorovich kurbatov","Slavic"
"xavier boucard","French"
"jorma manninen","Scandinavian"
"farida tinwala","India"
"rahul kirtikar","India"
"luke flaherty","AngloSaxon"
"yitting peng","China"
"timothy throne","AngloSaxon"
"hee seung chung","Korea"
"lawrence adamchick","AngloSaxon"
"santiago arias codolar","Hispanic"
"peli barrenechea zabala","Hispanic"
"guojian wang","China"
"david paul miller","AngloSaxon"
"odd bryhn","Scandinavian"
"byeong woo ryu","Korea"
"dag boye","Scandinavian"
"filipa maria rodrigues pardal dias antunes marcal da silva","Hispanic"
"salvatore truglio","Italian"
"raimon castells","Hispanic"
"philippe raveneau","French"
"juan antonio perez perez","Hispanic"
"toshiyasu kunii","Japan"
"andrei fedorovich alexandrov","Slavic"
"leland kliever","AngloSaxon"
"marite bradshaw","AngloSaxon"
"sang ll hong","SouthEastAsia"
"manampathy giridharan","India"
"jialin tang","China"
"lewis roger hodgins","AngloSaxon"
"manuel rodriguez ortega","Hispanic"
"yury kotlyarov","Slavic"
"william pippin","AngloSaxon"
"cong ma","SouthEastAsia"
"tino gurb","German"
"jon blevins","AngloSaxon"
"zhaochang huang","China"
"balamurugan souppourayen","India"
"aldo bruni","Italian"
"edmond lam","China"
"chhotey lal nil","India"
"jan rautio","Scandinavian"
"aida alvarez","Hispanic"
"haibing robin liu","China"
"sergey andreevich boronin","Slavic"
"michel girault","French"
"kusuki nishioka","Hispanic"
"friedrich born","German"
"matthew franklin barna","AngloSaxon"
"claude marchal","French"
"james teachman","AngloSaxon"
"alexander alexandrovich osipov","Slavic"
"darrin beaupre","AngloSaxon"
"burton head","AngloSaxon"
"armando servia reymundo","Hispanic"
"pawel wolff","German"
"joseph stanley malingowski","AngloSaxon"
"abhishek chowdhury","India"
"roy abhay","India"
"charles davey","AngloSaxon"
"tord ursin","Scandinavian"
"harsha ","India"
"alfio comis","Italian"
"patrick eugster","German"
"sunep imchen","India"
"dioclecio silveira barros","Hispanic"
"francisco javier pedrosa ruiz","Hispanic"
"charlotte albaek thrue","Scandinavian"
"gary william skeels","AngloSaxon"
"donald eugene denning","AngloSaxon"
"witold olszewski","EastEurope"
"wei hua duan","China"
"jose afonso cenachi drummond","Hispanic"
"antonio jorge leitao schilling","German"
"nikhil rasiklal trivedi","India"
"guoliang wu","China"
"kaoru kigasawa","Japan"
"friedhelm appel","German"
"adelman ribeiro","Hispanic"
"helmut fobbe","German"
"kyungil im","Korea"
"helga lichtenegger","German"
"nils arne jonsson","Scandinavian"
"tord ringenhall","Scandinavian"
"yang liu","China"
"jim burke","AngloSaxon"
"wolfgang schnaars","German"
"hyun ick shin","Korea"
"harry sandoy","Philippines"
"john bradley simmons","AngloSaxon"
"jose lavi","Hispanic"
"shigeki hiyama","Japan"
"nuno paulo alegrete da silva","Hispanic"
"carlo bianchi","Italian"
"shinji    honda gijutsu kenkyusho takahashi","Japan"
"joaquin bigorra llosas","Hispanic"
"shiyang hua","China"
"buddy don gray","AngloSaxon"
"arley marley","Hispanic"
"carlo cordone","Italian"
"yun chan park","Korea"
"vijaya chandra arroju","India"
"daniel wade","AngloSaxon"
"franz josef rubroeder","German"
"kenneth mon ngai","China"
"markus duerre","German"
"vladimir ivanovych molchanov","Slavic"
"lee hyuck","Korea"
"henrik sahlin sahlin","Scandinavian"
"teemu leskinen","Scandinavian"
"ernest bonner jr","Africa"
"miguel angel serrano","Hispanic"
"archit shukla","India"
"pablo martin","Hispanic"
"glenn francis pierce","AngloSaxon"
"ismo laitinen","Scandinavian"
"steinar bjaerum","Scandinavian"
"john mccomas","AngloSaxon"
"nicolas ruggli","French"
"frederic chiron","French"
"thalia nicas","Hispanic"
"sujata rathy","India"
"ernest nolan","AngloSaxon"
"arne neumann","German"
"tiecai li","China"
"stefan johannes schmitt","German"
"eun ji kwon","Korea"
"mehdi khanpour","Persian"
"sridhar srinivasan iyengar","India"
"hyong kang","Korea"
"hiroo wakaumi","Japan"
"courtney wrenn","AngloSaxon"
"domenico bucchi","Italian"
"francisco lpez fernandez","Hispanic"
"joaquim maria de sousa rodrigues","Hispanic"
"lingjun meng","China"
"kevin throckmorton","AngloSaxon"
"keith andrew birney","AngloSaxon"
"hun joo ha","SouthEastAsia"
"angel martin bejarano","Hispanic"
"jean luc pierre andre brossaud","French"
"antoine wilhelm jaureguiberry","French"
"dong ha kim","SouthEastAsia"
"ellen beeman","AngloSaxon"
"edielma chipanski","Hispanic"
"frederic chabot","French"
"wei cheng joseph ku","China"
"kenneth kostrzewa","AngloSaxon"
"ann britt pettersson","Scandinavian"
"thibaut rolland","French"
"eng hooi teoh","China"
"lene bech","Scandinavian"
"mitsunari nakamura","Japan"
"roberto fenati","Hispanic"
"alice hibbs","AngloSaxon"
"manu chikkanna","India"
"zu shen tan","SouthEastAsia"
"christophe midelet","French"
"herve baudry","French"
"eun gyun cho","Korea"
"lutz hartmann","German"
"yoshiaki nagashima","Hispanic"
"claudio menicagli","Italian"
"jianme fan","China"
"yadav ashwani","India"
"petr kovar","EastEurope"
"henrik roedjegard","Scandinavian"
"barsha baruah","India"
"jitae kim","Korea"
"anton maurer","German"
"byong yong yu","Korea"
"lingli kung","China"
"mun soo cha","Korea"
"guanyuan wang","China"
"yuan jingli","China"
"stefano genisio","Italian"
"liming du","SouthEastAsia"
"gustavo de deus","Hispanic"
"ezio valenzano","Italian"
"bethany janowski","AngloSaxon"
"danielle roxberry","AngloSaxon"
"vitaly mikhailovich sokolov","Slavic"
"fredrik oeberg","Scandinavian"
"pedro arcas","Hispanic"
"nicholas dupree","AngloSaxon"
"james sudworth","AngloSaxon"
"vincenzo di candido","Italian"
"vincent fonquerne","French"
"marek janus","EastEurope"
"stefano  technoprobe lazzari","Italian"
"gregory leach","AngloSaxon"
"gian luca guerrini","Italian"
"parry cornell booker","AngloSaxon"
"jayasimha atulasimha","India"
"joshua alan marsh","AngloSaxon"
"james greever","AngloSaxon"
"attray hemant","India"
"sergey vladimirovich dolgov","Slavic"
"xiuhan grace yang","Korea"
"norbert antensteiner","German"
"matt kerry","AngloSaxon"
"kreso tisaj","Balkans"
"tushar galankar","India"
"jorge herranz rausell","Hispanic"
"andrew nagy","AngloSaxon"
"zenrou minami","Japan"
"andre messias krell pedro","Hispanic"
"vincenzo villanacci","Italian"
"heidrun wabnitz","German"
"richard wetzel","German"
"yun ming hu","China"
"antonio cremildo arantes","Hispanic"
"sateesh lagudu","India"
"andreia enrique","Hispanic"
"tomoaki matsunobu","Japan"
"dmytro myroshnychenko","Slavic"
"oliver hornung","German"
"alain tixier","French"
"xiaohui huang","China"
"huiping chen","China"
"nathan paddick","AngloSaxon"
"kyoung su jeon","Korea"
"kristoffer klingberg","Scandinavian"
"lars errebo larsen","Scandinavian"
"paolo lobba","Italian"
"levadala murali krishna","India"
"davy choi","China"
"shunsuke takimoto","Japan"
"jean benier","French"
"rene hahn","German"
"senlin ma","China"
"davide bruni","Italian"
"morten abrahamsen","Scandinavian"
"jean dupart","French"
"herve borderie","French"
"jae yong park","Korea"
"mirko stortoni","Italian"
"antonio jimenez alonso","Hispanic"
"dan gaspard","French"
"roger soulier","French"
"xinwei gao","China"
"masao  nippon steel corp sakai works kimoto","Japan"
"moon il kim","Korea"
"bryan allen bartley","AngloSaxon"
"roopesh ambalath matayambath","India"
"rajesh kanakath","India"
"shi yuan zhou","China"
"michael graham hicken","AngloSaxon"
"alex xuyang li","China"
"malu tansey","AngloSaxon"
"krisztian balazs kis","EastEurope"
"carl lindhagen","Scandinavian"
"heinrich juergensen","German"
"koon yan pak","China"
"roberto sabini","Hispanic"
"helena edlund","Scandinavian"
"john furlong","AngloSaxon"
"ronald duncan burgess","AngloSaxon"
"veikko ilmari ilmasti","Scandinavian"
"frigyes waczek","German"
"guenter nudinger","German"
"bruce goode","AngloSaxon"
"avery lyford","AngloSaxon"
"jrgen ziemke","German"
"maria pia cagnetta","Italian"
"pavan vitthaladevuni","India"
"maria isabel de barros","Hispanic"
"guillaume foissac","French"
"millie martinez","Hispanic"
"john chetland","AngloSaxon"
"jason janavicius","AngloSaxon"
"luis hausmann columbri","Hispanic"
"mark tschiegg","AngloSaxon"
"michio koike","Japan"
"guifang jia","China"
"vijay kadam","India"
"sang jin hahm","Korea"
"vampo cosimo","Italian"
"carlota albuquerque","Hispanic"
"soumik ghosh","India"
"stanislav mach","EastEurope"
"radu denghel","Italian"
"kristian nielsen","Scandinavian"
"giovanni de risi","Italian"
"pierre livrozet","French"
"fuzhai wang","China"
"joergen andersson","Scandinavian"
"jochen breilmann","German"
"joseph collins","AngloSaxon"
"jose sivo romero","Hispanic"
"sanjay pandurang kamble","India"
"victor alexandrovich timashov","Hispanic"
"linda kim","SouthEastAsia"
"fabio affonso","Hispanic"
"janet gaewsky","AngloSaxon"
"donald presley","AngloSaxon"
"robb englin","AngloSaxon"
"krutin boloor","India"
"david anthony betts","AngloSaxon"
"joseph hupp","German"
"cecilia hellermark","Hispanic"
"harumi eguchi","Hispanic"
"jean olivier sauriau","French"
"yukio motoyama","Japan"
"gert holmberg","Scandinavian"
"kathleen ann pieper","German"
"kyung dae kim","Korea"
"soichiro miura","Japan"
"lijie hu","China"
"donald pickard","AngloSaxon"
"xavier mestre","Hispanic"
"anton medvedev","Slavic"
"xiaolong bi","French"
"heikki pivike","Scandinavian"
"lars roland goestasson bergendal","Scandinavian"
"shoji imai","Japan"
"raghavendra shanbhag","India"
"remi auvergne","French"
"carla joana santos marinho silva","Hispanic"
"hermann rutten","German"
"shi ming zhang","China"
"young tai kim","Korea"
"markus mustonen","Scandinavian"
" le vier","French"
"chih sieh teng","China"
"vladimir vasilevich kozlov","Slavic"
"francesco santasilia","Italian"
"sei yong park","SouthEastAsia"
"jung yeol kim","Korea"
"karthikeyan vaiapury","India"
"yusin pak","SouthEastAsia"
"shun shimazaki","Japan"
"sang hyuk han","Korea"
"susini tommaso","Italian"
"chau tran","SouthEastAsia"
"heon gu cho","Korea"
"noel borton","AngloSaxon"
"guenther ohland","German"
"heloiza brunhari","Hispanic"
"rodrigo dos santos rodrigues","Hispanic"
"fred morrow jr","Africa"
"tangui le guern","French"
"felix martinez de narvajas alcalde","Hispanic"
"bao ngo","SouthEastAsia"
"beniamino scanzani","Italian"
"anand kandapi","India"
"andrew tombras smith","AngloSaxon"
"soon il jung","Korea"
"kerstin fredlund","Scandinavian"
"damiano alberti","Italian"
"pushkar patwardhan","India"
"john coldren","AngloSaxon"
"ruediger preuss","German"
"seon seok  kim","Korea"
"arnab chanda","India"
"emre ertin","Turkey"
"konrad kaiser","German"
"ahmet ozdemir","Turkey"
"jake matthew kurzer","AngloSaxon"
"ramesh kumar nadgoud","India"
"michael joseph brien","AngloSaxon"
"malvina borisovna guseva","Slavic"
"mari nishi","Hispanic"
"andrew mcaleer","AngloSaxon"
"harold owen","AngloSaxon"
"benedikt kurtz","German"
"aurelien monge","French"
"akella venkata bhavani sankaram","India"
"romain oddoart","French"
"frederic pabot","French"
"maria cristina anania","Hispanic"
"john frederick race","AngloSaxon"
"wensong zhu","China"
"upendra ummethala","India"
"klaus freissler","German"
"yaqi wang","China"
"ramiro guarderas","Hispanic"
"gergely gombos","EastEurope"
"frank martin bub","German"
"adrian huggins","AngloSaxon"
"joao bandarra","Hispanic"
"santosh kumar singh","India"
"bjarke srensen jessen","Scandinavian"
"joseph pope jr","Africa"
"viola malone","AngloSaxon"
"jean louis dumoulin","French"
"grigory glushko","Slavic"
"gilbert desgardin","French"
"sachin sudhir turkewadikar","India"
"sheshachalam bangalore satyanarayana","India"
"mikhail vladimirovich ruzin","Slavic"
"stephen hole","AngloSaxon"
"susan hartjes doherty","AngloSaxon"
"yuanyuan xing","China"
"youqing wu","China"
"hironobu matsui","Japan"
"richard clement allen","AngloSaxon"
"susan pettijohn","AngloSaxon"
"phillip davidson","AngloSaxon"
"bjoern bjaere","German"
"pradeep rangrao patil","India"
"changsu shin","Korea"
"qiyong wen","China"
"hans heinrich domalski","German"
"inaki xabier aizpurua zendoia","Hispanic"
"william orabone","AngloSaxon"
"bertrand godreau","French"
"isidore le fur","French"
"clemente pinto","Hispanic"
"georges bazante","French"
"johannes seydel","German"
"dong ho chu","SouthEastAsia"
"choonjoo jeon","Korea"
"inigo loizaga urbistondo","Hispanic"
"zsolt varsanyi","EastEurope"
"haridasa raghavendra tantry","India"
"ana marie valles pousa","Hispanic"
"changwei wang","China"
"christophe guignabert","French"
"fernando augusto baptista","Hispanic"
"michel suire","French"
"minsik son","Korea"
"ravi shankar nandula","India"
"clarisse berlioz","French"
"jennifer busby","AngloSaxon"
"horst meier","German"
"satish shankar","India"
"hansik jeong","Korea"
"anindya sengupta","India"
"timothy draelos","AngloSaxon"
"juan carlos cortes rengel","Hispanic"
"magnus brunnsaker","Scandinavian"
"xianping wang","China"
"sachin choudhary","India"
"earl frantz","Philippines"
"matti raudasoja","Scandinavian"
"sagar sunkle","India"
"malena adolfsson","Scandinavian"
"maria lamy freund","German"
"andrea maria mainini","Italian"
"teresa boix","Hispanic"
"manuel romero gomez","Hispanic"
"yunhong sun","China"
"ana cristina bernardo de oliveira","Hispanic"
"weiming cheng","China"
"warren machleder deceased","AngloSaxon"
"dmitry aleksandrovich yannau","Slavic"
"gordon free","AngloSaxon"
"ralph richard ruf","German"
"traci simons","AngloSaxon"
"won il lee","Korea"
"maria leticia zarantonelli","Hispanic"
"baihui zhang","China"
"niranjan varadarajan iyengar","India"
"marty griffith","AngloSaxon"
"andreas saringer","German"
"john quackenboss","AngloSaxon"
"jindrich fric","EastEurope"
"tsuyoshi hongo","Japan"
"marta maria moreno valencia","Hispanic"
"marvin henry schumacher","German"
"arun hajra","India"
"riccardo bertacco","Italian"
"jos maria da fonte ferreira","Hispanic"
"raghavendra kalose mathsyendranath","India"
"david miklas","AngloSaxon"
"arun ephrem sunny","India"
"bogdan skalmierski","Italian"
"adriana bigi","Hispanic"
"damien frerejean","French"
"jin hyuk park","Korea"
"parijat koditkar","India"
"roberto bonfadini","Hispanic"
"jose alexandre la salvia","Hispanic"
"fabienne jehn rendu","French"
"luis filipe de sousa silva","Hispanic"
"jakub svatos","AngloSaxon"
"alf johan hamrin","Scandinavian"
"mi jeong park","Korea"
"olivier mouzin","French"
"bernard tranie","French"
"andreas krickau","German"
"ambreese hill","AngloSaxon"
"bahman tavakkoli","Persian"
"carlo m italia ricerche marchesano","Italian"
"robert simko","AngloSaxon"
"luca casale","Italian"
"siegfried muck","German"
"vincenzo massaro","Italian"
"maria luisa polignano","Hispanic"
"joaquin ariza","Hispanic"
"david thomas crouse","AngloSaxon"
"alexis jouatel","French"
"ian galton","AngloSaxon"
"aurelien moressee","French"
"aihua zheng","China"
"manisha ajgaonkar","India"
"doug stevens","AngloSaxon"
"scott thomas macquarrie","AngloSaxon"
"henrik olsson","Scandinavian"
"adam chojnacki","AngloSaxon"
"sorin marius panainte","Italian"
"sundar hariharan","India"
